club_id,name,age,market_value_est
1,Teja Paku Alam,14 Mar 1994 (31),"Rp4,35Mlyr."
1,Adam Przybek,2 Apr 2000 (25),"Rp1,74Mlyr."
1,Fitrah Maulana,24 Mei 2006 (19),"Rp434,54Jt."
1,Rhaka Syafaka,11 Feb 2008 (17),-
1,Federico Barba,1 Sep 1993 (32),"Rp8,69Mlyr."
1,Patricio Matricardi,7 Jan 1994 (32),"Rp6,95Mlyr."
1,Frans Putros,14 Jul 1993 (32),"Rp6,08Mlyr."
1,Júlio César,21 Mar 1995 (30),"Rp5,21Mlyr."
1,Kakang Rudianto,2 Feb 2003 (22),"Rp3,91Mlyr."
1,Achmad Jufriyanto,7 Feb 1987 (38),"Rp173,82Jt."
1,Dion Markx,29 Jun 2005 (20),-
1,Layvin Kurzawa,4 Sep 1992 (33),"Rp13,04Mlyr."
1,Kevin Pasha,15 Jan 2007 (19),-
1,Zulkifli Lukmansyah,8 Sep 2006 (19),-
1,Thom Haye,9 Feb 1995 (30),"Rp17,38Mlyr."
1,Alfeandra Dewangga,28 Jun 2001 (24),"Rp3,91Mlyr."
1,Robi Darwis,2 Agt 2003 (22),"Rp2,61Mlyr."
1,Dedi Kusnandar,23 Jul 1991 (34),"Rp1,74Mlyr."
1,Marc Klok,20 Apr 1993 (32),"Rp6,95Mlyr."
1,Adam Alis,19 Des 1993 (32),"Rp4,78Mlyr."
1,Abdul Aziz,14 Feb 1994 (31),"Rp869,08Jt."
1,Nazriel Alfaro,1 Feb 2008 (17),"Rp434,54Jt."
1,Berguinho,18 Feb 1997 (28),"Rp4,35Mlyr."
1,Luciano Guaycochea,24 Apr 1992 (33),"Rp3,91Mlyr."
1,Saddil Ramdani,2 Jan 1999 (27),"Rp5,65Mlyr."
1,Eliano Reijnders,23 Okt 2000 (25),"Rp10,43Mlyr."
1,Beckham Putra,29 Okt 2001 (24),"Rp6,08Mlyr."
1,Febri Hariyadi,19 Feb 1996 (29),"Rp1,74Mlyr."
1,Athaya Zahran,22 Jan 2006 (20),-
1,Andrew Jung,8 Okt 1997 (28),"Rp8,69Mlyr."
1,Uilliam,11 Okt 1994 (31),"Rp4,35Mlyr."
1,Ramon Tanque,10 Sep 1998 (27),"Rp3,91Mlyr."
3,Andritany,26 Des 1991 (34),"Rp2,61Mlyr."
3,Carlos Eduardo,24 Feb 1992 (33),"Rp1,30Mlyr."
3,Hafizh Rizkianur,8 Agt 2006 (19),-
3,Irham Nadzhofa,11 Feb 2007 (18),-
3,Rizky Ridho,21 Nov 2001 (24),"Rp11,30Mlyr."
3,Jordi Amat,21 Mar 1992 (33),"Rp10,43Mlyr."
3,Paulo Ricardo,13 Jul 1994 (31),"Rp5,21Mlyr."
3,Thales Lira,6 Apr 1993 (32),"Rp4,78Mlyr."
3,Dia Syayid,12 Des 2004 (21),"Rp869,08Jt."
3,Baihaqi Rifai,29 Jul 2006 (19),-
3,Shayne Pattynama,11 Agt 1998 (27),"Rp6,08Mlyr."
3,Fajar Fathurrahman,29 Mei 2002 (23),"Rp6,08Mlyr."
3,Sousa,27 Nov 1994 (31),"Rp4,35Mlyr."
3,Hanif Sjahbandi,7 Apr 1997 (28),"Rp4,35Mlyr."
3,Fábio Silva,24 Jul 1997 (28),"Rp4,35Mlyr."
3,Aditya Warman,2 Feb 2005 (20),"Rp434,54Jt."
3,Ryo Matsumura,15 Jun 1994 (31),"Rp5,21Mlyr."
3,Rayhan Hannan,2 Apr 2004 (21),"Rp2,61Mlyr."
3,Maxwell,11 Feb 1995 (30),"Rp8,69Mlyr."
3,Witan,8 Okt 2001 (24),"Rp5,21Mlyr."
3,Dony Tri Pamungkas,11 Jan 2005 (21),"Rp3,48Mlyr."
3,Arlyansyah Abdulmanan,20 Des 2005 (20),"Rp1,30Mlyr."
3,Allano,24 Apr 1995 (30),"Rp6,95Mlyr."
3,Bruno Tubarão,5 Mar 1995 (30),"Rp6,95Mlyr."
3,Zahaby Gholy,5 Des 2008 (17),-
3,Alaeddine Ajaraie,5 Jan 1993 (33),"Rp6,08Mlyr."
3,Gustavo,25 Jul 1996 (29),"Rp5,21Mlyr."
3,Eksel Runtukahu,2 Sep 1998 (27),"Rp3,48Mlyr."
4,Mike Hauptmeijer,18 Mar 1997 (28),"Rp3,48Mlyr."
4,Fitrul Rustapa,5 Jun 1995 (30),"Rp2,17Mlyr."
4,Dikri Yusron,8 Jan 1995 (31),"Rp1,30Mlyr."
4,Wayan Arta,1 Okt 2006 (19),"Rp173,82Jt."
4,Kadek Arel,4 Apr 2005 (20),"Rp4,35Mlyr."
4,João Ferrari,25 Jun 1997 (28),"Rp2,61Mlyr."
4,Bagas Adi,8 Mar 1997 (28),"Rp1,74Mlyr."
4,Putu Panji,2 Apr 2008 (17),-
4,Ricky Fajrin,6 Sep 1995 (30),"Rp5,65Mlyr."
4,Yusuf Meilana,4 Mei 1998 (27),"Rp3,48Mlyr."
4,Agus Mahendra,1 Jun 2002 (23),"Rp434,54Jt."
4,Made Andhika,12 Jul 1996 (29),"Rp4,35Mlyr."
4,Rizky Dwi,22 Feb 1997 (28),"Rp3,04Mlyr."
4,Brandon Wilson,28 Jan 1997 (29),"Rp4,78Mlyr."
4,Made Tito,31 Jul 2003 (22),"Rp2,17Mlyr."
4,Tim Receveur,30 Jul 1991 (34),"Rp1,74Mlyr."
4,Reyner Barusu,27 Des 2005 (20),-
4,Kadek Agung,25 Jun 1998 (27),"Rp3,91Mlyr."
4,Teppei Yachida,1 Nov 2001 (24),"Rp10,43Mlyr."
4,Jordy Bruijn,23 Jul 1996 (29),"Rp5,21Mlyr."
4,Mirza Mustafic,20 Jun 1998 (27),"Rp5,21Mlyr."
4,Maouri Simon,9 Nov 2006 (19),"Rp869,08Jt."
4,Diego Campos,1 Okt 1995 (30),"Rp10,43Mlyr."
4,Rahmat,28 Mei 1988 (37),"Rp173,82Jt."
4,Thijmen Goppel,16 Feb 1997 (28),"Rp10,43Mlyr."
4,Irfan Jaya,1 Mei 1996 (29),"Rp3,91Mlyr."
4,Rahmat Arjuna,30 Apr 2004 (21),"Rp2,61Mlyr."
4,Nathan Ari,3 Agt 2006 (19),-
4,Boris Kopitovic,27 Apr 1995 (30),"Rp4,78Mlyr."
4,Jens Raven,12 Okt 2005 (20),"Rp1,30Mlyr."
5,Sonny Stevens,22 Jun 1992 (33),"Rp5,21Mlyr."
5,Muhammad Natshir,13 Feb 1993 (32),"Rp1,30Mlyr."
5,Yofandani Pranata,9 Apr 2001 (24),"Rp434,54Jt."
5,Dafa Al Gasemi,12 Feb 2008 (17),-
5,Nick Kuipers,8 Okt 1992 (33),"Rp4,35Mlyr."
5,Wahyu Prasetyo,21 Mar 1998 (27),"Rp4,35Mlyr."
5,Cássio Scheid,3 Jan 1994 (32),"Rp4,35Mlyr."
5,Brian Fatari,20 Des 1999 (26),"Rp2,17Mlyr."
5,Edo Febriansyah,25 Jul 1997 (28),"Rp4,78Mlyr."
5,Alta Ballah,30 Des 2000 (25),"Rp3,91Mlyr."
5,Johnathan,4 Apr 1995 (30),"Rp6,08Mlyr."
5,Ady Setiawan,10 Sep 1994 (31),"Rp1,74Mlyr."
5,Rizdjar Nurviat,2 Jan 2006 (20),"Rp1,30Mlyr."
5,Theo Numberi,1 Sep 2001 (24),"Rp1,30Mlyr."
5,Alexis Messidoro,13 Mei 1997 (28),"Rp6,95Mlyr."
5,Jajá,18 Mar 1995 (30),"Rp6,52Mlyr."
5,Kafiatur Rizky,17 Jul 2006 (19),"Rp434,54Jt."
5,Ricky Kambuaya,5 Mei 1996 (29),"Rp5,65Mlyr."
5,Rangga Muslim,13 Mei 1994 (31),"Rp869,08Jt."
5,Noah Sadaoui,14 Sep 1993 (32),"Rp10,43Mlyr."
5,Taisei Marukawa,30 Jan 1997 (29),"Rp5,21Mlyr."
5,Stefano Lilipaly,10 Jan 1990 (36),"Rp3,48Mlyr."
5,Rafael Struick,27 Mar 2003 (22),"Rp2,61Mlyr."
5,Egy Maulana Vikri,7 Jul 2000 (25),"Rp5,65Mlyr."
5,Vico,3 Des 1996 (29),"Rp1,74Mlyr."
5,Alex Martins,8 Jul 1993 (32),"Rp5,65Mlyr."
5,Septian Bagaskara,26 Sep 1997 (28),"Rp3,48Mlyr."
6,Hilmansyah,25 Mei 1997 (28),"Rp3,48Mlyr."
6,Reza Arya,18 Mei 2000 (25),"Rp2,61Mlyr."
6,Poetro Negoro,4 Okt 2007 (18),-
6,Agus Al Faris,19 Agt 2008 (17),-
6,Yuran Fernandes,19 Okt 1994 (31),"Rp6,95Mlyr."
6,Aloísio Neto,16 Agt 1997 (28),"Rp5,21Mlyr."
6,Syahrul Lasinari,24 Des 1999 (26),"Rp3,48Mlyr."
6,Daffa Salman,30 Apr 2002 (23),"Rp1,74Mlyr."
6,Jamil Al Rahman,13 Jan 2007 (19),-
6,Victor Luiz,5 Des 1997 (28),"Rp6,08Mlyr."
6,Mufli Hidayat,7 Agt 2005 (20),"Rp869,08Jt."
6,Akbar Tanjung,16 Mei 1993 (32),"Rp3,91Mlyr."
6,Ananda Raehan,17 Des 2003 (22),"Rp3,04Mlyr."
6,Muhammad Arfan,22 Jan 1998 (28),"Rp2,61Mlyr."
6,Rifky Dwi Septiawan,3 Feb 2002 (23),"Rp1,74Mlyr."
6,Gledson,18 Mei 1995 (30),"Rp1,74Mlyr."
6,Resky Fandi,6 Sep 1999 (26),"Rp1,30Mlyr."
6,Rasyid Bakri,17 Jan 1991 (35),"Rp869,08Jt."
6,Sávio Roberto,30 Apr 1996 (29),"Rp6,08Mlyr."
6,Daisuke Sakai,18 Jan 1997 (29),"Rp4,35Mlyr."
6,Fahrul Aditia,26 Jun 2003 (22),"Rp1,30Mlyr."
6,Rizky Eka Pratama,24 Des 1999 (26),"Rp3,48Mlyr."
6,Victor Dethan,11 Jul 2004 (21),"Rp3,91Mlyr."
6,Abdul Rahman,1 Agt 2002 (23),"Rp2,17Mlyr."
6,Dzaky Asraf,6 Feb 2003 (22),"Rp1,74Mlyr."
6,Gala Pagamo,11 Agt 2006 (19),"Rp869,08Jt."
6,Muh Fahrul,1 Apr 2008 (17),-
6,Luka Cumic,25 Mei 2001 (24),"Rp6,08Mlyr."
6,Alex Tanque,14 Apr 1994 (31),"Rp5,65Mlyr."
6,Abu Razard Kamara,1 Apr 1997 (28),"Rp4,35Mlyr."
6,Ricky Pratama,6 Mei 2003 (22),"Rp2,61Mlyr."
6,Jacques Thémopelé,8 Feb 1998 (27),"Rp2,17Mlyr."
7,Nadeo Argawinata,9 Mar 1997 (28),"Rp6,95Mlyr."
7,Syahrul Trisna,26 Nov 1995 (30),"Rp2,61Mlyr."
7,Daffa Fasya,7 Mei 2004 (21),"Rp1,74Mlyr."
7,Andhika Setiawan,27 Jan 2006 (20),-
7,Cleylton,19 Mar 1993 (32),"Rp3,91Mlyr."
7,Komang Teguh,28 Apr 2002 (23),"Rp3,48Mlyr."
7,Mohammad Al-Husseini,18 Des 2002 (23),"Rp3,04Mlyr."
7,Caxambu,23 Jan 1997 (29),"Rp4,35Mlyr."
7,Ardi Idrus,22 Jan 1993 (33),"Rp2,61Mlyr."
